region,provincia,comuna,dc,nom_distrito,hombre_18-19,hombre_20-24,hombre_25-29,hombre_30-34,hombre_35-39,hombre_40-44,hombre_45-49,hombre_50-54,hombre_55-59,hombre_60-64,hombre_65-69,hombre_70-74,hombre_75-79,hombre_80-84,mujer_18-19,mujer_20-24,mujer_25-29,mujer_30-34,mujer_35-39,mujer_40-44,mujer_45-49,mujer_50-54,mujer_55-59,mujer_60-64,mujer_65-69,mujer_70-74,mujer_75-79,mujer_80-84,hombre_18-19,hombre_20-24,hombre_25-29,hombre_30-34,hombre_35-39,hombre_40-44,hombre_45-49,hombre_50-54,hombre_55-59,hombre_60-64,hombre_65-69,hombre_70-74,hombre_75-79,hombre_80-84,mujer_18-19,mujer_20-24,mujer_25-29,mujer_30-34,mujer_35-39,mujer_40-44,mujer_45-49,mujer_50-54,mujer_55-59,mujer_60-64,mujer_65-69,mujer_70-74,mujer_75-79,mujer_80-84,hombre_18-19,hombre_20-24,hombre_25-29,hombre_30-34,hombre_35-39,hombre_40-44,hombre_45-49,hombre_50-54,hombre_55-59,hombre_60-64,hombre_65-69,hombre_70-74,hombre_75-79,hombre_80-84,mujer_18-19,mujer_20-24,mujer_25-29,mujer_30-34,mujer_35-39,mujer_40-44,mujer_45-49,mujer_50-54,mujer_55-59,mujer_60-64,mujer_65-69,mujer_70-74,mujer_75-79,mujer_80-84
13,131,13101,1,HUELÉN,49,259,743,793,594,414,250,199,147,131,128,97,57,40,65,305,681,742,499,361,208,169,170,172,164,118,96,77,49,259,743,793,594,414,250,199,147,131,128,97,57,40,65,305,681,742,499,361,208,169,170,172,164,118,96,77,49,259,743,793,594,414,250,199,147,131,128,97,57,40,65,305,681,742,499,361,208,169,170,172,164,118,96,77
13,131,13101,2,MONEDA,166,820,1751,1741,1285,879,610,420,337,242,157,128,86,49,171,845,1616,1395,1056,761,536,427,355,290,191,157,121,90,166,820,1751,1741,1285,879,610,420,337,242,157,128,86,49,171,845,1616,1395,1056,761,536,427,355,290,191,157,121,90,166,820,1751,1741,1285,879,610,420,337,242,157,128,86,49,171,845,1616,1395,1056,761,536,427,355,290,191,157,121,90
13,131,13101,3,AMUNÁTEGUI,188,1078,2252,2064,1446,853,539,424,286,215,140,90,64,31,223,1165,2103,1737,1134,748,529,400,336,250,200,153,89,84,188,1078,2252,2064,1446,853,539,424,286,215,140,90,64,31,223,1165,2103,1737,1134,748,529,400,336,250,200,153,89,84,188,1078,2252,2064,1446,853,539,424,286,215,140,90,64,31,223,1165,2103,1737,1134,748,529,400,336,250,200,153,89,84
13,131,13101,4,BRASIL,149,484,701,739,612,507,377,352,283,228,170,137,97,51,148,520,722,662,606,525,441,418,365,300,255,198,161,112,149,484,701,739,612,507,377,352,283,228,170,137,97,51,148,520,722,662,606,525,441,418,365,300,255,198,161,112,149,484,701,739,612,507,377,352,283,228,170,137,97,51,148,520,722,662,606,525,441,418,365,300,255,198,161,112
13,131,13101,5,CHACABUCO,122,459,587,509,403,336,313,283,202,161,123,80,41,30,106,435,518,502,402,343,320,298,245,200,140,108,99,71,122,459,587,509,403,336,313,283,202,161,123,80,41,30,106,435,518,502,402,343,320,298,245,200,140,108,99,71,122,459,587,509,403,336,313,283,202,161,123,80,41,30,106,435,518,502,402,343,320,298,245,200,140,108,99,71
13,131,13101,6,PORTALES,115,420,582,647,464,429,297,260,212,170,115,108,60,42,118,403,538,539,481,412,344,326,262,224,160,131,125,68,115,420,582,647,464,429,297,260,212,170,115,108,60,42,118,403,538,539,481,412,344,326,262,224,160,131,125,68,115,420,582,647,464,429,297,260,212,170,115,108,60,42,118,403,538,539,481,412,344,326,262,224,160,131,125,68
13,131,13101,7,MATUCANA,133,508,672,658,546,439,319,296,186,159,113,76,60,32,160,475,659,553,528,461,395,320,271,220,156,123,84,55,133,508,672,658,546,439,319,296,186,159,113,76,60,32,160,475,659,553,528,461,395,320,271,220,156,123,84,55,133,508,672,658,546,439,319,296,186,159,113,76,60,32,160,475,659,553,528,461,395,320,271,220,156,123,84,55
13,131,13101,8,SAN SATURNINO,188,577,772,743,656,610,440,358,325,228,154,148,90,49,153,561,696,731,662,627,492,468,380,280,210,187,133,101,188,577,772,743,656,610,440,358,325,228,154,148,90,49,153,561,696,731,662,627,492,468,380,280,210,187,133,101,188,577,772,743,656,610,440,358,325,228,154,148,90,49,153,561,696,731,662,627,492,468,380,280,210,187,133,101
13,131,13101,9,MAPOCHO,135,525,665,666,551,436,402,361,303,182,146,123,68,39,153,477,615,631,562,535,460,390,353,293,230,174,117,106,135,525,665,666,551,436,402,361,303,182,146,123,68,39,153,477,615,631,562,535,460,390,353,293,230,174,117,106,135,525,665,666,551,436,402,361,303,182,146,123,68,39,153,477,615,631,562,535,460,390,353,293,230,174,117,106
13,131,13101,10,VICUÑA MACKENNA,203,1032,2019,1906,1137,670,411,339,278,206,135,110,80,60,256,1050,2009,1728,1033,589,409,374,375,354,242,206,181,107,203,1032,2019,1906,1137,670,411,339,278,206,135,110,80,60,256,1050,2009,1728,1033,589,409,374,375,354,242,206,181,107,203,1032,2019,1906,1137,670,411,339,278,206,135,110,80,60,256,1050,2009,1728,1033,589,409,374,375,354,242,206,181,107
13,131,13101,11,SAN ISIDRO,426,1928,4245,4328,2731,1496,887,719,521,382,268,195,133,69,471,2097,4415,3797,2324,1382,933,808,711,587,450,324,236,210,426,1928,4245,4328,2731,1496,887,719,521,382,268,195,133,69,471,2097,4415,3797,2324,1382,933,808,711,587,450,324,236,210,426,1928,4245,4328,2731,1496,887,719,521,382,268,195,133,69,471,2097,4415,3797,2324,1382,933,808,711,587,450,324,236,210
13,131,13101,12,UNIVERSIDAD,231,1330,2949,2633,1560,891,608,467,332,248,152,108,61,32,236,1437,2801,2200,1328,790,566,466,407,287,226,168,119,62,231,1330,2949,2633,1560,891,608,467,332,248,152,108,61,32,236,1437,2801,2200,1328,790,566,466,407,287,226,168,119,62,231,1330,2949,2633,1560,891,608,467,332,248,152,108,61,32,236,1437,2801,2200,1328,790,566,466,407,287,226,168,119,62
13,131,13101,13,ALMAGRO,264,1261,2586,2286,1398,775,506,435,306,243,176,86,62,47,306,1320,2566,1997,1148,694,475,427,395,305,228,171,127,84,264,1261,2586,2286,1398,775,506,435,306,243,176,86,62,47,306,1320,2566,1997,1148,694,475,427,395,305,228,171,127,84,264,1261,2586,2286,1398,775,506,435,306,243,176,86,62,47,306,1320,2566,1997,1148,694,475,427,395,305,228,171,127,84
13,131,13101,14,PORVENIR,135,560,952,831,532,341,289,236,194,150,100,83,49,34,154,535,910,693,474,349,292,287,254,222,160,133,84,72,135,560,952,831,532,341,289,236,194,150,100,83,49,34,154,535,910,693,474,349,292,287,254,222,160,133,84,72,135,560,952,831,532,341,289,236,194,150,100,83,49,34,154,535,910,693,474,349,292,287,254,222,160,133,84,72
13,131,13101,15,SAN DIEGO,147,715,1014,922,631,470,366,354,259,212,140,104,63,47,165,657,988,803,603,515,458,384,334,263,182,146,119,94,147,715,1014,922,631,470,366,354,259,212,140,104,63,47,165,657,988,803,603,515,458,384,334,263,182,146,119,94,147,715,1014,922,631,470,366,354,259,212,140,104,63,47,165,657,988,803,603,515,458,384,334,263,182,146,119,94
13,131,13101,16,SANTA ELENA,147,777,1367,1111,611,334,269,219,168,142,91,69,56,44,161,770,1291,885,534,351,255,229,273,156,120,110,86,67,147,777,1367,1111,611,334,269,219,168,142,91,69,56,44,161,770,1291,885,534,351,255,229,273,156,120,110,86,67,147,777,1367,1111,611,334,269,219,168,142,91,69,56,44,161,770,1291,885,534,351,255,229,273,156,120,110,86,67
